AL	427.868	289.343	42.189	71.108
AR	350.966	274.24	53.655	51.068
AZ	103.926	248.81	75.855	89.808
CA	25.357	147.004	89.404	160.603
CO	182.491	201.348	83.165	63.792
CT	610.765	135.884	38.433	36.235
DC	565.667	213.73	63.304	53.223
DE	666.695	207.323	44.728	59.63
FL	439.778	342.832	103.712	76.49
GA	458.766	285.906	59.637	61.686
IA	328.624	172.226	67.09	42.743
ID	109.577	69.879	66.239	111.074
IL	384.032	184.211	44.03	78.799
IN	426.172	191.762	32.41	57.019
KS	265.403	222.517	83.03	44.753
KY	413.645	228.401	80.274	42.059
LA	359.209	325.684	63.964	54.645
MA	608.305	104.384	88.515	42.969
MD	572.418	230.909	115.127	53.469
ME	584	69.47	38.523	63.871
MI	434.051	132.624	42.065	58.964
MN	321.81	93.688	70.551	78.924
MT	138.873	71.152	114.077	75.946
MO	336.582	216.121	76.701	63.976
MS	390.092	293.498	38.993	71.388
NC	473.028	245.727	97.881	42.824
ND	252.226	90.697	72.906	46.652
NE	246.314	178.905	93.713	45.235
NH	547.792	43.875	31.418	71.432
NJ	610.305	173.024	26.153	64.111
NM	172.395	259.37	78.38	80.617
NV	65.261	161.888	72.819	110.022
NY	507.234	118.798	66.837	57.777
OH	455.139	181.134	47.311	51.526
OK	252.292	266.738	98.986	47.379
OR	33.833	88.531	90.454	78.529
PA	498.859	166.599	65.375	42.456
RI	650	135.844	27.561	60.064
SC	486.575	278.864	54.741	41.622
SD	247.621	135.844	78.576	49.925
TN	403.511	259.382	96.39	33.446
TX	210.351	272.117	161.868	155.956
UT	125.589	176.832	63.231	80.276
VA	481.973	212.219	84.113	48.004
VT	519.371	56.541	29.477	61.266
WA	57.837	52.648	75.013	56.386
WI	365.123	124.318	56.257	59.816
WV	487.383	207.392	49.583	39.988
WY	169.571	139.192	80.08	65.721
